#Accession	Sequence ID	Release Date
OR378681	IBISU211126_Angara_So_EveA153_SA_18S	08/07/2023	
OR378682	IBISU211125_Angara_Ya_EveA154_SA_18S	08/07/2023	
OR378683	IBISU211125_Angara_Ya_EveA155_SA_18S	08/07/2023	
OR378684	IBISU211125_Angara_Ya_EveA156_SA_18S	08/07/2023	
OR378685	IBISU211125_Angara_Ya_EveA157_SA_18S	08/07/2023	
OR378686	IBISU211125_Angara_To_EveA163_SA_18S	08/07/2023	
OR378687	IBISU211125_Angara_To_EveA164_SA_18S	08/07/2023	
OR378688	IBISU211125_Angara_To_EveA165_SA_18S	08/07/2023	
OR378689	IBISU211125_Angara_To_EveA166_SA_18S	08/07/2023	
OR378690	IBISU211125_Angara_To_EveA170_SA_18S	08/07/2023	
OR378691	IBISU211125_Angara_To_EveA171_SA_18S	08/07/2023	
OR378692	IBISU211125_Angara_To_EveA172_SA_18S	08/07/2023	
OR378693	IBISU211125_Angara_To_EveA177_SA_18S	08/07/2023	
OR378694	IBISU211125_Angara_To_EveA178_SA_18S	08/07/2023	
OR378695	IBISU211125_Angara_To_EveA197_SA_18S	08/07/2023	
OR378696	IBISU211125_Angara_Ya_EveA199_SA_18S	08/07/2023	
OR378697	IBISU211125_Angara_Ya_EveA200_SA_18S	08/07/2023	
OR378698	IBISU221030_Angara_So_EveA240_SA_18S	08/07/2023	
OR378699	IBISU221030_Angara_So_EveA241_SA_18S	08/07/2023	
OR378700	IBISU220723_Angara_Kr_AmspA167_SA_18S	08/07/2023	
OR378701	IBISU220723_Angara_Kr_AmspA168_SA_18S	08/07/2023	
OR378702	IBISU220723_Angara_Kr_AmspA169_SA_18S	08/07/2023	
OR378703	IBISU220723_Angara_Kr_AmspA169a_SA_18S	08/07/2023	
OR378704	IBISU220723_Angara_Kr_AmspA170_SA_18S	08/07/2023	
OR378705	IBISU220723_Angara_Kr_AmspA171_SA_18S	08/07/2023	
OR378706	IBISU220723_Angara_Kr_AmspA172_SA_18S	08/07/2023	
OR378707	IBISU220723_Angara_Kr_AmspA173_SA_18S	08/07/2023	
OR378708	IBISU220724_Angara_Pa_AmspA174_SA_18S	08/07/2023	
OR378709	IBISU220724_Angara_Pa_AmspA175_SA_18S	08/07/2023	
OR378710	IBISU220724_Angara_Pa_AmspA176_SA_18S	08/07/2023	
OR378711	IBISU220724_Angara_Pa_AmspA177_SA_18S	08/07/2023	
OR378712	IBISU220724_Angara_Pa_AmspA178_SA_18S	08/07/2023	
OR378713	IBISU220724_Angara_Pa_AmspA179_SA_18S	08/07/2023	
OR378714	IBISU220724_Angara_Pa_AmspA180_SA_18S	08/07/2023	
OR378715	IBISU220725_Angara_Zy_AmspA189_SA_18S	08/07/2023	
OR378716	IBISU220725_Angara_Zy_AmspA190_SA_18S	08/07/2023	
OR378717	IBISU220725_Angara_Zy_AmspA191_SA_18S	08/07/2023	
OR378718	IBISU220725_Angara_Zy_AmspA192_SA_18S	08/07/2023	
OR378719	IBISU220725_Angara_Zy_AmspA193_SA_18S	08/07/2023	
OR378720	IBISU220725_Angara_Zy_AmspA194_SA_18S	08/07/2023	
OR378721	IBISU220725_Angara_Zy_AmspA195_SA_18S	08/07/2023	
OR378722	IBISU220710_Angara_Ko_EveA201_SA_18S	08/07/2023	
OR378723	IBISU220710_Angara_Ko_EveA202_SA_18S	08/07/2023	
OR378724	IBISU220710_Angara_Ko_EveA203_SA_18S	08/07/2023	
OR378725	IBISU220710_Angara_Ko_EveA204_SA_18S	08/07/2023	
OR378726	IBISU220710_Angara_Ko_EveA205_SA_18S	08/07/2023	
OR378727	IBISU220710_Angara_Ni_EveA211_SA_18S	08/07/2023	
OR378728	IBISU220710_Angara_Ni_EveA212_SA_18S	08/07/2023	
OR378729	IBISU220710_Angara_Ni_EveA213_SA_18S	08/07/2023	
OR378730	IBISU220710_Angara_Ni_EveA214_SA_18S	08/07/2023	
OR378731	IBISU220710_Angara_Ni_EveA215_SA_18S	08/07/2023	
OR378732	IBISU220710_Angara_Ni_EveA216_SA_18S	08/07/2023	
OR378733	IBISU220710_Angara_Ni_EveA217_SA_18S	08/07/2023	
OR378734	IBISU220710_Angara_Ni_EveA218_SA_18S	08/07/2023	
OR378735	IBISU220710_Angara_Ni_EveA219_SA_18S	08/07/2023	
OR378736	IBISU220710_Angara_Ni_EveA220_SA_18S	08/07/2023	
OR378737	IBISU221009_Angara_Ko_EveA221_SA_18S	08/07/2023	
OR378738	IBISU221009_Angara_Ko_EveA222_SA_18S	08/07/2023	
OR378739	IBISU221009_Angara_Ko_EveA223_SA_18S	08/07/2023	
OR378740	IBISU221009_Angara_Ko_EveA224_SA_18S	08/07/2023	
OR378741	IBISU221009_Angara_Ko_EveA225_SA_18S	08/07/2023	
OR378742	IBISU221010_Angara_Sh_EveA232_SA_18S	08/07/2023	
OR378743	IBISU221010_Angara_Sh_EveA233_SA_18S	08/07/2023	
OR378744	IBISU221010_Angara_Sh_EveA234_SA_18S	08/07/2023	
OR378745	IBISU221010_Angara_Sh_EveA235_SA_18S	08/07/2023	
OR378746	IBISU221010_Angara_Sh_EveA237_SA_18S	08/07/2023	
OR378747	IBISU221010_Angara_Sh_EveA238_SA_18S	08/07/2023	
OR378748	IBISU221010_Angara_Sh_EveA239_SA_18S	08/07/2023	
OR378749	IBISU230710_Angara_Mp_AmspA196_SA_18S	08/07/2023	
OR378750	IBISU230710_Angara_Mp_AmspA197_SA_18S	08/07/2023	
OR378751	IBISU230710_Angara_Mp_AmspA198_SA_18S	08/07/2023	
OR378752	IBISU230710_Angara_Mp_AmspA199_SA_18S	08/07/2023	
OR378753	IBISU230710_Angara_Mp_AmspA201_SA_18S	08/07/2023	
OR378754	IBISU230710_Angara_Mp_AmspA202_SA_18S	08/07/2023	
OR378755	IBISU230710_Angara_Mp_AmspA203_SA_18S	08/07/2023	
OR378756	IBISU230710_Angara_Mp_AmspA204_SA_18S	08/07/2023	
OR378757	IBISU230710_Angara_Mp_AmspA205_SA_18S	08/07/2023	
