#Accession	Sequence ID	Release Date
OR394327	IBISU211126_Angara_So_EveA153_SA_COI	08/09/2023	
OR394328	IBISU211125_Angara_Ya_EveA154_SA_COI	08/09/2023	
OR394329	IBISU211125_Angara_Ya_EveA155_SA_COI	08/09/2023	
OR394330	IBISU211125_Angara_Ya_EveA156_SA_COI	08/09/2023	
OR394331	IBISU211125_Angara_Ya_EveA157_SA_COI	08/09/2023	
OR394332	IBISU211125_Angara_To_EveA163_SA_COI	08/09/2023	
OR394333	IBISU211125_Angara_To_EveA164_SA_COI	08/09/2023	
OR394334	IBISU211125_Angara_To_EveA165_SA_COI	08/09/2023	
OR394335	IBISU211125_Angara_To_EveA166_SA_COI	08/09/2023	
OR394336	IBISU211125_Angara_To_EveA170_SA_COI	08/09/2023	
OR394337	IBISU211125_Angara_To_EveA171_SA_COI	08/09/2023	
OR394338	IBISU211125_Angara_To_EveA172_SA_COI	08/09/2023	
OR394339	IBISU211125_Angara_To_EveA177_SA_COI	08/09/2023	
OR394340	IBISU211125_Angara_To_EveA178_SA_COI	08/09/2023	
OR394341	IBISU211125_Angara_To_EveA197_SA_COI	08/09/2023	
OR394342	IBISU211125_Angara_Ya_EveA199_SA_COI	08/09/2023	
OR394343	IBISU211125_Angara_Ya_EveA200_SA_COI	08/09/2023	
OR394344	IBISU221030_Angara_So_EveA240_SA_COI	08/09/2023	
OR394345	IBISU221030_Angara_So_EveA241_SA_COI	08/09/2023	
OR394346	IBISU220723_Angara_Kr_AmspA167_SA_COI	08/09/2023	
OR394347	IBISU220723_Angara_Kr_AmspA168_SA_COI	08/09/2023	
OR394348	IBISU220723_Angara_Kr_AmspA169a_SA_COI	08/09/2023	
OR394349	IBISU220723_Angara_Kr_AmspA169_SA_COI	08/09/2023	
OR394350	IBISU220723_Angara_Kr_AmspA170_SA_COI	08/09/2023	
OR394351	IBISU220723_Angara_Kr_AmspA171_SA_COI	08/09/2023	
OR394352	IBISU220723_Angara_Kr_AmspA172_SA_COI	08/09/2023	
OR394353	IBISU220723_Angara_Kr_AmspA173_SA_COI	08/09/2023	
OR394354	IBISU220724_Angara_Pa_AmspA174_SA_COI	08/09/2023	
OR394355	IBISU220724_Angara_Pa_AmspA175_SA_COI	08/09/2023	
OR394356	IBISU220724_Angara_Pa_AmspA176_SA_COI	08/09/2023	
OR394357	IBISU220724_Angara_Pa_AmspA177_SA_COI	08/09/2023	
OR394358	IBISU220724_Angara_Pa_AmspA178_SA_COI	08/09/2023	
OR394359	IBISU220724_Angara_Pa_AmspA179_SA_COI	08/09/2023	
OR394360	IBISU220724_Angara_Pa_AmspA180_SA_COI	08/09/2023	
OR394361	IBISU220725_Angara_Zy_AmspA189_SA_COI	08/09/2023	
OR394362	IBISU220725_Angara_Zy_AmspA190_SA_COI	08/09/2023	
OR394363	IBISU220725_Angara_Zy_AmspA191_SA_COI	08/09/2023	
OR394364	IBISU220725_Angara_Zy_AmspA192_SA_COI	08/09/2023	
OR394365	IBISU220725_Angara_Zy_AmspA193_SA_COI	08/09/2023	
OR394366	IBISU220725_Angara_Zy_AmspA194_SA_COI	08/09/2023	
OR394367	IBISU220725_Angara_Zy_AmspA195_SA_COI	08/09/2023	
OR394368	IBISU220710_Angara_Ko_EveA201_SA_COI	08/09/2023	
OR394369	IBISU220710_Angara_Ko_EveA202_SA_COI	08/09/2023	
OR394370	IBISU220710_Angara_Ko_EveA203_SA_COI	08/09/2023	
OR394371	IBISU220710_Angara_Ko_EveA204_SA_COI	08/09/2023	
OR394372	IBISU220710_Angara_Ko_EveA205_SA_COI	08/09/2023	
OR394373	IBISU220710_Angara_Ni_EveA211_SA_COI	08/09/2023	
OR394374	IBISU220710_Angara_Ni_EveA212_SA_COI	08/09/2023	
OR394375	IBISU220710_Angara_Ni_EveA213_SA_COI	08/09/2023	
OR394376	IBISU220710_Angara_Ni_EveA214_SA_COI	08/09/2023	
OR394377	IBISU220710_Angara_Ni_EveA215_SA_COI	08/09/2023	
OR394378	IBISU220710_Angara_Ni_EveA216_SA_COI	08/09/2023	
OR394379	IBISU220710_Angara_Ni_EveA217_SA_COI	08/09/2023	
OR394380	IBISU220710_Angara_Ni_EveA218_SA_COI	08/09/2023	
OR394381	IBISU220710_Angara_Ni_EveA219_SA_COI	08/09/2023	
OR394382	IBISU220710_Angara_Ni_EveA220_SA_COI	08/09/2023	
OR394383	IBISU221009_Angara_Ko_EveA221_SA_COI	08/09/2023	
OR394384	IBISU221009_Angara_Ko_EveA222_SA_COI	08/09/2023	
OR394385	IBISU221009_Angara_Ko_EveA223_SA_COI	08/09/2023	
OR394386	IBISU221009_Angara_Ko_EveA224_SA_COI	08/09/2023	
OR394387	IBISU221009_Angara_Ko_EveA225_SA_COI	08/09/2023	
OR394388	IBISU221010_Angara_Sh_EveA232_SA_COI	08/09/2023	
OR394389	IBISU221010_Angara_Sh_EveA233_SA_COI	08/09/2023	
OR394390	IBISU221010_Angara_Sh_EveA234_SA_COI	08/09/2023	
OR394391	IBISU221010_Angara_Sh_EveA235_SA_COI	08/09/2023	
OR394392	IBISU221010_Angara_Sh_EveA237_SA_COI	08/09/2023	
OR394393	IBISU221010_Angara_Sh_EveA238_SA_COI	08/09/2023	
OR394394	IBISU221010_Angara_Sh_EveA239_SA_COI	08/09/2023	
OR394395	IBISU230710_Angara_Mp_AmspA196_SA_COI	08/09/2023	
OR394396	IBISU230710_Angara_Mp_AmspA197_SA_COI	08/09/2023	
OR394397	IBISU230710_Angara_Mp_AmspA198_SA_COI	08/09/2023	
OR394398	IBISU230710_Angara_Mp_AmspA199_SA_COI	08/09/2023	
OR394399	IBISU230710_Angara_Mp_AmspA201_SA_COI	08/09/2023	
OR394400	IBISU230710_Angara_Mp_AmspA202_SA_COI	08/09/2023	
OR394401	IBISU230710_Angara_Mp_AmspA203_SA_COI	08/09/2023	
OR394402	IBISU230710_Angara_Mp_AmspA204_SA_COI	08/09/2023	
OR394403	IBISU230710_Angara_Mp_AmspA205_SA_COI	08/09/2023	
